Group,Letteringroup,Self.leadership.media,Self.dominance.media,Self.comp.media,Self.liking.media
1,K,3.50,2.75,3.25,3.25
1,L,,,,
1,M,4.00,3.25,3.75,4.50
1,N,3.50,3.25,3.75,4.50
2,K,3.00,2.75,3.50,4.25
2,L,4.25,3.50,4.00,4.75
2,M,3.00,2.25,3.25,3.75
3,K,3.00,1.50,2.00,5.00
3,L,4.00,3.50,3.50,3.75
3,M,2.75,2.25,3.50,4.25
4,K,2.75,3.00,3.75,4.00
4,L,3.75,3.75,3.75,5.00
4,M,2.25,2.25,4.25,5.00
5,K,2.25,1.50,2.75,4.50
5,L,3.50,3.00,4.25,3.75
5,M,3.75,3.50,3.75,4.50
6,K,2.50,2.50,3.75,4.50
6,L,3.75,2.50,4.00,5.00
6,M,3.50,3.25,4.25,5.00
6,N,4.00,3.50,3.50,4.00
7,K,3.25,2.75,4.25,4.00
7,L,4.50,4.25,5.00,5.00
7,M,2.50,2.25,3.00,3.75
7,N,3.50,3.25,3.50,4.25
8,K,3.50,3.00,4.00,4.00
8,L,3.75,4.25,4.50,5.00
8,M,4.00,3.75,4.75,5.00
9,K,3.25,2.75,3.00,4.50
9,L,3.50,3.50,2.75,4.00
9,M,3.75,3.25,3.50,5.00
9,N,2.50,2.75,3.50,4.00
10,K,3.25,2.50,4.00,4.50
10,L,3.50,3.00,4.00,4.25
10,M,3.25,2.75,3.33,4.50
10,N,2.00,2.50,3.50,4.50
11,K,3.25,3.00,4.00,4.00
11,L,4.50,4.75,3.50,3.75
11,M,3.50,2.75,3.50,5.00
11,N,4.00,3.50,4.50,3.75
12,K,3.25,2.50,4.00,4.00
12,L,4.50,3.50,3.75,4.50
12,M,3.75,3.00,4.00,4.25
12,N,3.00,3.25,3.00,2.25
13,K,3.25,3.00,3.00,3.00
13,L,2.75,2.25,4.00,4.50
13,M,3.25,2.50,3.50,4.50
14,K,3.25,2.50,4.25,4.50
14,L,3.00,2.00,3.00,4.25
14,M,3.00,3.25,4.50,5.00
14,N,4.00,2.75,4.00,4.75
15,K,3.25,3.25,3.75,4.75
15,L,4.25,3.50,3.75,4.50
15,M,4.00,3.50,3.50,4.50
16,K,3.75,3.75,3.50,3.75
16,L,4.50,3.75,3.75,4.25
16,M,3.25,3.00,3.75,4.50
16,N,4.25,4.00,4.00,4.25
17,K,2.50,2.00,4.50,4.50
17,L,4.00,3.25,4.00,5.00
17,M,2.75,3.25,4.25,5.00
18,K,3.50,3.50,2.50,4.50
18,L,3.75,3.25,4.00,4.50
18,M,3.25,3.00,3.00,4.00
18,N,2.25,2.25,5.00,5.00
19,K,4.00,2.25,4.75,5.00
19,L,3.50,3.25,3.00,4.50
19,M,3.75,2.75,3.00,4.50
19,N,4.00,4.00,4.25,4.25
20,K,1.50,1.50,3.50,4.75
20,L,4.25,4.25,4.00,4.50
20,M,2.50,2.00,3.50,5.00
20,N,4.00,3.75,3.25,3.25
21,K,2.25,2.5,3,4.5
21,L,3.5,3.25,3.75,5
21,M,3.75,2.5,3.25,3.75
21,N,2.75,1.5,3.5,5
22,K,3.5,3.25,3,3.5
22,L,2.5,3.25,3.5,3.75
22,M,2.75,2.25,3.25,3
22,N,3.25,2.75,3.5,4
23,K,2.75,2,3.25,4.5
23,L,4,3.5,3.5,4.25
23,M,3.25,2.25,3.25,3.5
24,K,2.5,2.25,3.25,3
24,L,3.25,3.25,4,4
24,M,3.75,4.25,3.75,4
24,N,4,2.25,5,5
25,K,4,4.25,4.5,3.5
25,L,2,1,3.5,5
25,M,3.25,2.5,4.25,4.75
25,N,4.25,3.5,4,4.5
26,K,2.5,2.75,3.75,4.75
26,L,3.75,3,3.25,4.5
26,M,4.25,4,3.5,4.5
26,N,2.25,2.75,4.25,4
27,K,3.5,3,3,4.5
27,L,3,3,3.75,4
27,M,4,3.75,3.25,3.75
27,N,3.75,3.75,4,4.5
28,K,3.75,2.75,3.25,4.25
28,L,3,3.5,4.5,5
28,M,2.75,3,3.25,4.5
28,N,3.25,3,3.75,4
29,K,2.5,1.25,3.75,3
29,L,3,3,2.75,4
29,M,3,3.25,3.25,4
29,N,3.25,2.25,3,4.5
30,K,4.75,4.75,4.25,4.5
30,L,3.75,2.5,4,4.25
30,M,3.25,3,4.5,4.5
30,N,4.25,3.75,4,4
31,K,3,2.25,4,4
31,L,3.5,3.75,3.5,3.75
31,M,3.75,4.5,3.75,3.75
31,N,3.5,3.25,4,4
32,K,2.25,2.75,3.5,3.75
32,L,3.5,3.75,4,4.5
32,M,4,3.25,3.25,4.5
33,K,3.75,3.75,3.75,3.5
33,L,3.75,3.5,4.75,4.5
33,M,3,3,3.75,4.5
33,N,4.25,4.25,3,4.5
34,K,2.25,2.75,2.75,4.25
34,L,2.75,2.5,3.25,4.5
34,M,4,3.75,3.5,3.75
34,N,4,4.25,2.75,2.5
35,K,3.25,3.25,4.25,3
35,L,4,3.25,4.75,4.75
35,M,4.5,4.5,3.75,3.5
36,K,3.5,3.75,3.25,4.25
36,L,3.25,3.75,3.75,4
36,M,4.25,4,4.25,4.5
37,K,3.25,3.25,4.25,4.25
37,L,3.5,3.25,3.5,4.25
37,M,3.75,2.5,2.5,4.25
37,N,3.75,3.5,4.5,4.5
38,K,3.25,2.5,3.25,4.5
38,L,3,3.5,3,3.25
38,M,4.25,3.75,4,3.75
38,N,2.5,2.75,3,4.25
39,K,3,1.25,4,4
39,L,4,3.75,3.5,3.75
39,M,3.75,2.75,3.75,4
39,N,2.25,2.25,3.75,4.5
40,K,3.5,3.5,4,4.75
40,L,3.25,3.25,3,3.25
40,M,2,2.5,4.25,4.5
40,N,3.75,3.75,4.25,4.5
